temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,temple_urls,temple_address,lat,long,prophet,interval,prophet_start,prophet_end,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,guess_country,missing_state,first_word,lat_general,long_general,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID
Caracas Venezuela Temple,2,2,1,15332,0.5,33,6,39,NA,1,Attached,Yes,1995-09-30,1999-01-10,2000-08-20,https://churchofjesuschristtemples.org/caracas-venezuela-temple,"Urb Caurimare, Avenida. C con Calle C-1, Caracas 1062-A, Dependencias Federales, Venezuela",10.927955758,-65.30913481,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Caracas, Dependencias Federales, Venezuela",OPERATING,20 August 2000,68,caracas-venezuela-temple,Caracas,Dependencias Federales,Venezuela,"August 20, 2000",NA,FALSE,Caracas Venezuela ,NA,NA,NA,NA,NA,NA,NA
Cardston Alberta Temple,4,5,1,88562,10,13,0,13,NA,1,Attached,No,1913-06-27,1913-11-09,1923-08-26,https://churchofjesuschristtemples.org/cardston-alberta-temple,"348 3rd St W, Cardston, Alberta T0K 0K0, Canada",49.198718345956,-113.310936540043,Joseph F. Smith,1901-10-17 UTC--1918-11-19 UTC,1901-10-17T00:00:00Z,1918-11-19T00:00:00Z,"Cardston, Alberta, Canada",OPERATING,26 August 1923,21,cardston-alberta-temple,Cardston,Alberta,Canada,"August 26, 1923",NA,FALSE,Cardston Alberta ,49.2001157,-113.3165704,NA,NA,NA,NA,NA
Casper Wyoming Temple,1,1,1,10000,9.5,NA,NA,NA,NA,1,Attached,No,2021-04-04,2021-10-09,NA,https://churchofjesuschristtemples.org/casper-wyoming-temple,"2905 Independence Court, Casper, Wyoming 82604, United States",42.809589408397,-106.361596789724,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Casper, Wyoming, United States",CONSTRUCTION,Construction,4138362,casper-wyoming-temple,Casper,Wyoming,United States,,NA,FALSE,Casper  ,42.8501191,-106.325138,56,025,000901,3,560250009013
Cebu City Philippines Temple,2,2,1,29556,11.6,41,30,71,194.8,1,Attached,Yes,2006-04-18,2007-11-14,2010-06-13,https://churchofjesuschristtemples.org/cebu-city-philippines-temple,"Gorordo Avenue, Barangay Lahug, Cebu City, 6000 Cebu, Philippines",10.325926089019,123.898066737696,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Cebu City, Cebu, Philippines",OPERATING,13 June 2010,77199,cebu-city-philippines-temple,Cebu City,Cebu,Philippines,"June 13, 2010",NA,FALSE,Cebu City Philippines ,10.2977029,123.8990986,NA,NA,NA,NA,NA
Cedar City Utah Temple,2,3,1,42657,9.5,17,0,17,NA,1,Attached,Yes,2013-04-06,2015-08-08,2017-12-10,https://churchofjesuschristtemples.org/cedar-city-utah-temple,"280 South Cove Dr, Cedar City, Utah 84720, United States",37.671627014723,-113.096291997049,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Cedar City, Utah, United States",OPERATING,10 December 2017,4028590,cedar-city-utah-temple,Cedar City,Utah,United States,"December 10, 2017",NA,FALSE,Cedar City  ,37.6774238,-113.061827,49,021,110701,2,490211107012
Charlotte North Carolina Temple,NA,NA,NA,30000,5.9,NA,NA,NA,705.3,NA,NA,NA,2023-04-02,NA,NA,https://churchofjesuschristtemples.org/charlotte-north-carolina-temple,"345 Providence Rd S, Weddington, North Carolina, United States",35.007800184733,-80.766669768193,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"North Carolina, United States",ANNOUNCED,Announced,4156619,charlotte-north-carolina-temple,Charlotte,North Carolina,United States,,NA,TRUE,Charlotte  ,35.2272086,-80.8430827,37,179,021010,3,371790210103
Chicago Illinois Temple,5,3,1,37062,13,13,0,13,685.4,6,Detached,Yes,1981-04-01,1983-08-13,1985-08-09,https://churchofjesuschristtemples.org/chicago-illinois-temple,"4151 W Lake Ave, Glenview, Illinois 60025-1240, United States",42.086639992002,-87.859500016952,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Glenview, Illinois, United States",OPERATING,9 August 1985,24,chicago-illinois-temple,Glenview,Illinois,United States,"August 9, 1985",NA,FALSE,Chicago  ,42.0700662,-87.8114044,17,031,801607,2,170318016072
Ciudad Juárez Mexico Temple,2,2,1,10700,1.64,12,0,12,NA,1,Attached,Yes,1998-05-07,1999-01-09,2000-02-26,https://churchofjesuschristtemples.org/ciudad-juarez-mexico-temple,"Calle Paraguay #290, Esq. José Borunda, Col. Partido Romero, 32177 Ciudad Juárez, Chihuahua, Mexico",31.736009566777,-106.463549935392,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Ciudad Juárez, Chihuahua, Mexico",OPERATING,26 February 2000,36555,ciudad-juarez-mexico-temple,Ciudad Juárez,Chihuahua,Mexico,"February 26, 2000",NA,FALSE,Ciudad Juárez Mexico ,31.7372575,-106.485655,NA,NA,NA,NA,NA
Cleveland Ohio Temple,1,1,1,9900,NA,NA,NA,NA,733,NA,NA,NA,2022-04-03,NA,NA,https://churchofjesuschristtemples.org/cleveland-ohio-temple,"Brecksville Road (south of Longano Drive), Independence, Ohio 44131, United States",41.401005661621,-81.63572551392,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Ohio, United States",ANNOUNCED,Announced,4148131,cleveland-ohio-temple,Cleveland,Ohio,United States,,NA,TRUE,Cleveland  ,41.4996574,-81.6936772,39,035,156101,1,390351561011
Cobán Guatemala Temple,1,1,1,8800,5.4,NA,NA,NA,NA,1,Attached,No,2019-10-05,2020-11-14,NA,https://churchofjesuschristtemples.org/coban-guatemala-temple,"4a. Avenida 4-48 Zona 8, Barrio Bella Vista, Cobán, Alta Verapaz, Guatemala",15.468119096643001,-90.370497193009,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Coban, Guatemala",CONSTRUCTION,Construction,4124796,coban-guatemala-temple,Coban,,Guatemala,,NA,TRUE,Cobán Guatemala ,15.4702001,-90.3735065,NA,NA,NA,NA,NA
Cochabamba Bolivia Temple,2,3,1,33302,6.67,33,8,41,NA,5,Attached,Yes,1995-01-13,1996-11-10,2000-04-30,https://churchofjesuschristtemples.org/cochabamba-bolivia-temple,"Av. Melchor Urquidi 1500, Alto Queru Queru, Cochabamba, Bolivia",-17.37531,-66.14852,Howard W. Hunter,1994-06-05 UTC--1995-03-03 UTC,1994-06-05T00:00:00Z,1995-03-03T00:00:00Z,"Alto Queru Queru, Cochabamba, Bolivia",OPERATING,30 April 2000,56,cochabamba-bolivia-temple,Alto Queru Queru,Cochabamba,Bolivia,"April 30, 2000",NA,FALSE,Cochabamba Bolivia ,-17.361064,-66.1517408,NA,NA,NA,NA,NA
Cody Wyoming Temple,1,1,1,9950,4.69,NA,NA,NA,NA,1,Attached,No,2021-10-03,NA,NA,https://churchofjesuschristtemples.org/cody-wyoming-temple,"Skyline Drive, Cody, Wyoming, United States",44.512846931058,-109.078031326534,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Wyoming, United States",ANNOUNCED,Announced,4142980,cody-wyoming-temple,Cody,Wyoming,United States,,NA,TRUE,Cody  ,44.5263107,-109.056392,56,029,965500,1,560299655001
Colonia Juárez Chihuahua Mexico Temple,1,1,1,6800,2.56,2,4,6,NA,1,Attached,Yes,1997-10-04,1998-03-07,1999-03-06,https://churchofjesuschristtemples.org/colonia-juarez-chihuahua-mexico-temple,"Chihuahua y Diaz S/N, 31857 Colonia Juárez, Chihuahua, Mexico",30.308743337036,-108.078410722925,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Colonia Juárez, Chihuahua, Mexico",OPERATING,6 March 1999,36556,colonia-juarez-chihuahua-mexico-temple,Colonia Juárez,Chihuahua,Mexico,"March 6, 1999",NA,FALSE,Colonia Juárez Chihuahua Mexico ,30.3076107,-108.081005,NA,NA,NA,NA,NA
Columbia River Washington Temple,2,2,1,16880,2.88,11,0,11,538,1,Attached,Yes,2000-04-02,2000-10-28,2001-11-18,https://churchofjesuschristtemples.org/columbia-river-washington-temple,"969 Gage Blvd, Richland, Washington 99352-7777, United States",46.22677901584,-119.274939000269,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Richland, Washington, United States",OPERATING,18 November 2001,43207,columbia-river-washington-temple,Richland,Washington,United States,"November 18, 2001",NA,FALSE,Columbia River  ,46.2804298,-119.275205,53,005,010803,3,530050108033
Columbia South Carolina Temple,2,2,1,10700,3.6,19,0,19,307.5,1,Attached,Yes,1998-09-11,1998-12-05,1999-10-16,https://churchofjesuschristtemples.org/columbia-south-carolina-temple,"2905 Trotter Rd, Hopkins, South Carolina 29061-9573, United States",33.959216139119,-80.893607469918,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Hopkins, South Carolina, United States",OPERATING,16 October 1999,36987,columbia-south-carolina-temple,Hopkins,South Carolina,United States,"October 16, 1999",NA,FALSE,Columbia  ,33.9043212,-80.8770342,45,079,011606,1,450790116061
Columbus Ohio Temple,2,2,1,11745,5,18,0,18,858.9,1,Attached,Yes,1998-04-25,1998-09-12,1999-09-04,https://churchofjesuschristtemples.org/columbus-ohio-temple,"3870 Gateway Blvd, Columbus, Ohio 43228-9747, United States",39.994068988596,-83.113260000531,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Columbus, Ohio, United States",OPERATING,4 September 1999,36557,columbus-ohio-temple,Columbus,Ohio,United States,"September 4, 1999",NA,FALSE,Columbus  ,39.9622601,-83.0007065,39,049,007941,1,390490079411
Concepción Chile Temple,2,2,1,23095,4.06,24,7,31,56.9,1,Attached,Yes,2009-10-03,2015-10-17,2018-10-28,https://churchofjesuschristtemples.org/concepcion-chile-temple,"1525 Pedro de Valdivia, Concepción, Bio-Bio, Chile",-36.84218,-73.05581,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Concepcion, Chile",OPERATING,28 October 2018,4007347,concepcion-chile-temple,Concepcion,,Chile,"October 28, 2018",NA,TRUE,Concepción Chile ,-36.8270795,-73.0502399,NA,NA,NA,NA,NA
Copenhagen Denmark Temple,2,2,1,25000,0.6,3,0,3,27.2,1,Detached,Yes,1999-03-17,1999-04-24,2004-05-23,https://churchofjesuschristtemples.org/copenhagen-denmark-temple,"Priorvej 12, 2000 Frederiksberg, Denmark",55.692738036482,12.533895928661,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Frederiksberg, Hovedstaden, Denmark",OPERATING,23 May 2004,38397,copenhagen-denmark-temple,Frederiksberg,Hovedstaden,Denmark,"May 23, 2004",NA,FALSE,Copenhagen Denmark ,55.678016,12.5326186,NA,NA,NA,NA,NA
Córdoba Argentina Temple,2,2,1,34369,5.18,25,8,33,NA,1,Attached,Yes,2008-10-04,2010-10-30,2015-05-17,https://churchofjesuschristtemples.org/cordoba-argentina-temple,"Avenida Pedro Laplace 5637, CP5021 Córdoba, Argentina",-31.359191401834,-64.244235682799,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Córdoba, Argentina",OPERATING,17 May 2015,4005412,cordoba-argentina-temple,Córdoba,,Argentina,"May 17, 2015",NA,TRUE,Córdoba Argentina ,-31.4166867,-64.1834193,NA,NA,NA,NA,NA
Curitiba Brazil Temple,2,2,1,27850,8.15,34,3,37,NA,1,Attached,Yes,2002-08-23,2005-03-10,2008-06-01,https://churchofjesuschristtemples.org/curitiba-brazil-temple,"Rua Deputado Heitor Alencar Furtado, 3641, Mossunguê, 81200-110 Curitiba–PR, Brazil",-25.441010010168,-49.341559991865,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Curitiba, Parana, Brazil",OPERATING,1 June 2008,69206,curitiba-brazil-temple,Curitiba,Parana,Brazil,"June 1, 2008",NA,FALSE,Curitiba Brazil ,-25.4295963,-49.2712724,NA,NA,NA,NA,NA
Dallas Texas Temple,5,4,1,44207,6,28,0,28,617.7,6,Detached,Yes,1981-04-01,1983-01-22,1984-10-19,https://churchofjesuschristtemples.org/dallas-texas-temple,"6363 Willow Ln, Dallas, Texas 75230-2227, United States",32.914480004885,-96.796547033264,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Dallas, Texas, United States",OPERATING,19 October 1984,33,dallas-texas-temple,Dallas,Texas,United States,"October 19, 1984",NA,FALSE,Dallas  ,32.7762719,-96.7968559,48,113,013200,4,481130132004
Davao Philippines Temple,NA,NA,NA,18450,2.7,NA,NA,NA,68.4,1,Attached,No,2018-10-07,2020-11-14,NA,https://churchofjesuschristtemples.org/davao-philippines-temple,"Ma-a Road and Anahaw Road, Barangay Ma-a, Davao City, 8000 Davao del Sur, Philippines",7.072674701196,125.586897696929,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Davao, Philippines",CONSTRUCTION,Construction,4114419,davao-philippines-temple,Davao,,Philippines,,NA,TRUE,Davao Philippines ,7.0648306,125.6080623,NA,NA,NA,NA,NA
Denver Colorado Temple,4,5,1,29117,7.5,19,0,19,NA,1,Attached,Yes,1982-03-31,1984-05-19,1986-10-24,https://churchofjesuschristtemples.org/denver-colorado-temple,"2001 E Phillips Cir, Centennial, Colorado 80122-3264, United States",39.5686590297,-104.96575849362,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Centennial, Colorado, United States",OPERATING,24 October 1986,25,denver-colorado-temple,Centennial,Colorado,United States,"October 24, 1986",NA,FALSE,Denver  ,39.579155,-104.8769227,08,005,005631,3,080050056313
Deseret Peak Utah Temple,4,4,1,70000,17.98,NA,NA,NA,NA,1,Attached,No,2019-04-07,2021-05-15,NA,https://churchofjesuschristtemples.org/deseret-peak-utah-temple,"West of 2400 North 400 West, Tooele, Utah 84074, United States",40.565203183381,-112.31254753552,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Tooele, Utah, United States",CONSTRUCTION,Construction,4119593,deseret-peak-utah-temple,Tooele,Utah,United States,,NA,FALSE,Deseret Peak  ,40.5307776,-112.29828,49,045,130702,4,490451307024
Detroit Michigan Temple,2,2,1,10700,6.34,10,1,11,796.5,1,Attached,Yes,1998-08-10,1998-10-10,1999-10-23,https://churchofjesuschristtemples.org/detroit-michigan-temple,"37425 Woodward Ave, Bloomfield Hills, Michigan 48304, United States",42.56557301272,-83.229392023398,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Bloomfield Hills, Michigan, United States",OPERATING,23 October 1999,36583,detroit-michigan-temple,Bloomfield Hills,Michigan,United States,"October 23, 1999",NA,FALSE,Detroit  ,42.583645,-83.2454883,26,125,152000,2,261251520002
Draper Utah Temple,4,5,1,58300,12,28,0,28,NA,1,Attached,Yes,2004-10-02,2006-08-05,2009-03-20,https://churchofjesuschristtemples.org/draper-utah-temple,"14065 Canyon Vista Ln, Draper, Utah 84020-5626, United States",40.495647983856,-111.8407129924,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Draper, Utah, United States",OPERATING,20 March 2009,75530,draper-utah-temple,Draper,Utah,United States,"March 20, 2009",NA,FALSE,Draper  ,40.5247777,-111.8627989,49,035,112821,2,490351128212
Durban South Africa Temple,1,1,1,19860,14.49,11,6,17,337.4,1,Attached,Yes,2011-10-01,2016-04-09,2020-02-16,https://churchofjesuschristtemples.org/durban-south-africa-temple,"2 Izinga Drive, Izinga Ridge, Umhlanga, KwaZulu-Natal 4021, South Africa",-29.708340014195,31.072719977737,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Durban, South Africa",OPERATING,16 February 2020,4012419,durban-south-africa-temple,Durban,,South Africa,"February 16, 2020",NA,TRUE,Durban South Africa ,-29.861825,31.009909,NA,NA,NA,NA,NA
Edmonton Alberta Temple,2,2,1,10700,1,8,0,8,NA,1,Attached,Yes,1998-08-11,1999-02-27,1999-12-11,https://churchofjesuschristtemples.org/edmonton-alberta-temple,"14335 53rd Ave NW, Edmonton, Alberta T6H 5G6, Canada",53.489637390473,-113.570438992963,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Edmonton, Alberta, Canada",OPERATING,11 December 1999,36558,edmonton-alberta-temple,Edmonton,Alberta,Canada,"December 11, 1999",NA,FALSE,Edmonton Alberta ,53.5462055,-113.491241,NA,NA,NA,NA,NA
Elko Nevada Temple,1,1,1,10000,5.2,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-05-07,NA,https://churchofjesuschristtemples.org/elko-nevada-temple,"Ruby Vista Drive, Elko, Nevada, United States",40.851205059336,-115.750786656122,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Nevada, United States",CONSTRUCTION,Construction,4138367,elko-nevada-temple,Elko,Nevada,United States,,NA,TRUE,Elko  ,40.83269,-115.7630942,32,007,950702,2,320079507022
Ephraim Utah Temple,4,3,1,39000,9.16,NA,NA,NA,NA,2,Attached,No,2021-05-01,2022-08-27,NA,https://churchofjesuschristtemples.org/ephraim-utah-temple,"200 North and 400 East, Ephraim, Utah, United States",39.363380018325,-111.577170030948,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Utah, United States",CONSTRUCTION,Construction,4138990,ephraim-utah-temple,Ephraim,Utah,United States,,NA,TRUE,Ephraim  ,39.3596842,-111.586305,49,039,972400,3,490399724003
Farmington New Mexico Temple,2,2,1,25000,6.62,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-04-30,NA,https://churchofjesuschristtemples.org/farmington-new-mexico-temple,"4400 College Boulevard, Farmington, New Mexico, United States",36.769193013557,-108.165566962289,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"New Mexico, United States",CONSTRUCTION,Construction,4138364,farmington-new-mexico-temple,Farmington,New Mexico,United States,,NA,TRUE,Farmington  ,36.7291152,-108.205445,35,045,000202,2,350450002022
Feather River California Temple,4,3,1,41665,9.24,7,0,7,60.4,1,Attached,Yes,2018-10-07,2020-07-18,2023-10-08,https://churchofjesuschristtemples.org/feather-river-california-temple,"1470 Butte House Road, Yuba City, California 95993, United States",39.146247990032,-121.640756987799,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Yuba City, California, United States",OPERATING,8 October 2023,4114412,feather-river-california-temple,Yuba City,California,United States,"October 8, 2023",NA,FALSE,Feather River  ,39.1404477,-121.6169108,06,101,050604,1,061010506041
Fort Collins Colorado Temple,2,3,1,42000,15.69,14,0,14,NA,1,Attached,Yes,2011-04-02,2013-08-24,2016-10-16,https://churchofjesuschristtemples.org/fort-collins-colorado-temple,"2180 Majestic Dr, Fort Collins, Colorado 80528, United States",40.494058984562,-105.038032962493,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Fort Collins, Colorado, United States",OPERATING,16 October 2016,4010939,fort-collins-colorado-temple,Fort Collins,Colorado,United States,"October 16, 2016",NA,FALSE,Fort Collins  ,40.5508527,-105.0668085,08,069,001608,1,080690016081
Fort Lauderdale Florida Temple,2,3,1,30500,16.82,7,1,8,5.6,1,Attached,Yes,2009-10-03,2011-06-18,2014-05-04,https://churchofjesuschristtemples.org/fort-lauderdale-florida-temple,"3901 SW 154th Ave, Davie, Florida 33331, United States",26.070092001963,-80.35534898767,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Davie, Florida, United States",OPERATING,4 May 2014,4007348,fort-lauderdale-florida-temple,Davie,Florida,United States,"May 4, 2014",NA,FALSE,Fort Lauderdale  ,26.07441465,-80.28402569275804,12,011,070306,3,120110703063
Fort Worth Texas Temple,2,2,1,30000,9.37,NA,NA,NA,768,1,Attached,No,2021-10-03,2023-10-28,NA,https://churchofjesuschristtemples.org/fort-worth-texas-temple,"North of SW Hulen Street and Greenridge Drive, Burleson, Texas, United States",32.516469984556,-97.35931002412,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Texas, United States",ANNOUNCED,Announced,4142979,fort-worth-texas-temple,Fort Worth,Texas,United States,,NA,TRUE,Fort Worth  ,32.753177,-97.3327459,48,251,130215,2,482511302152
Fortaleza Brazil Temple,2,2,1,36000,10,24,3,27,202.2,1,Attached,Yes,2009-10-03,2011-11-15,2019-06-02,https://churchofjesuschristtemples.org/fortaleza-brazil-temple,"Avenida Santos Dumont 7771, Bairro de Lourdes, 60177-415 Fortaleza–CE, Brazil",-3.749511380042,-38.456724643095,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Fortaleza, Ceara, Brazil",OPERATING,2 June 2019,4007351,fortaleza-brazil-temple,Fortaleza,Ceará,Brazil,"June 2, 2019",NA,FALSE,Fortaleza Brazil ,-3.7304512,-38.5217989,NA,NA,NA,NA,NA
Frankfurt Germany Temple,4,4,1,32895,5.6,15,3,18,669.9,1,Detached,Yes,1981-04-01,1985-07-01,1987-08-28,https://churchofjesuschristtemples.org/frankfurt-germany-temple,"Talstrasse 10, 61381 Friedrichsdorf/TS, Germany",50.25894001604,8.641530027912,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Friedrichsdorf, Hessen, Germany",OPERATING,28 August 1987,26,frankfurt-germany-temple,Friedrichsdorf,Hessen,Germany,"August 28, 1987",NA,FALSE,Frankfurt Germany ,50.2556672,8.6511395,NA,NA,NA,NA,NA
Freetown Sierra Leone Temple,2,2,1,18000,2.9,NA,NA,NA,97.2,1,Attached,No,2019-10-05,2022-03-19,NA,https://churchofjesuschristtemples.org/freetown-sierra-leone-temple,"Jui Road, Kossoh Town, Freetown, Sierra Leone",8.33202,-13.07023,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,Sierra Leone,CONSTRUCTION,Construction,4124790,freetown-sierra-leone-temple,,,sierra leone,,sierra leone,TRUE,Freetown Sierra Leone ,8.6400349,-11.8400269,NA,NA,NA,NA,NA
Freiberg Germany Temple,2,2,1,21500,3.58,5,4,9,NA,1,Attached,Yes,1982-10-09,1983-04-23,1985-06-29,https://churchofjesuschristtemples.org/freiberg-germany-temple,"Hainichener Strasse 64, 09599 Freiberg, Germany",50.922189956029,13.322579205652,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Freiberg, Sachsen, Germany",OPERATING,29 June 1985,35,freiberg-germany-temple,Freiberg,Sachsen,Germany,"June 29, 1985",NA,FALSE,Freiberg Germany ,50.9169415,13.3428889,NA,NA,NA,NA,NA
Fresno California Temple,2,2,1,10700,2.34,8,0,8,319.5,1,Attached,Yes,1999-01-08,1999-03-20,2000-04-09,https://churchofjesuschristtemples.org/fresno-california-temple,"6290 N Valentine Ave, Fresno, California 93711, United States",36.82804600188,-119.852780029109,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Fresno, California, United States",OPERATING,9 April 2000,37354,fresno-california-temple,Fresno,California,United States,"April 9, 2000",NA,FALSE,Fresno  ,36.7295295,-119.70886126075588,06,019,004214,3,060190042143
Fukuoka Japan Temple,2,2,1,10700,1.25,4,5,9,81,1,Attached,Yes,1998-05-07,1999-03-20,2000-06-11,https://churchofjesuschristtemples.org/fukuoka-japan-temple,"9-15 Hirao Johsui Machi, Chuo-ku, Fukuoka-shi, Fukuoka 810-0029, Japan",33.572524280088,130.391728435825,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Fukuoka-shi, Fukuoka, Japan",OPERATING,11 June 2000,36559,fukuoka-japan-temple,Fukuoka-shi,Fukuoka,Japan,"June 11, 2000",NA,FALSE,Fukuoka Japan ,33.5898988,130.4017509,NA,NA,NA,NA,NA
Gilbert Arizona Temple,3,7,1,85326,15.38,37,0,37,NA,1,Attached,Yes,2008-04-26,2010-11-13,2014-03-02,https://churchofjesuschristtemples.org/gilbert-arizona-temple,"3301 S Greenfield Rd, Gilbert, Arizona 85297, United States",33.291297095498,-111.737465295818,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Gilbert, Arizona, United States",OPERATING,2 March 2014,4004671,gilbert-arizona-temple,Gilbert,Arizona,United States,"March 2, 2014",NA,FALSE,Gilbert  ,33.3527632,-111.789037,04,013,815400,1,040138154001
Grand Junction Colorado Temple,2,2,1,25000,6.94,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-04-16,NA,https://churchofjesuschristtemples.org/grand-junction-colorado-temple,"Horizon Drive and North 12th Street, Grand Junction, Colorado, United States",39.101799993823,-108.552310028371,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Colorado, United States",CONSTRUCTION,Construction,4138363,grand-junction-colorado-temple,Grand Junction,Colorado,United States,,NA,TRUE,Grand Junction  ,39.063956,-108.5507317,08,077,001001,2,080770010012
Grand Rapids Michigan Temple,2,2,1,20000,10.5,NA,NA,NA,790.3,NA,NA,NA,2022-10-02,NA,NA,https://churchofjesuschristtemples.org/grand-rapids-michigan-temple,"2400 Forest Hill Avenue SE, Grand Rapids, Michigan, United States",42.919560020286,-85.55842200553,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Michigan, United States",ANNOUNCED,Announced,4153313,grand-rapids-michigan-temple,Grand Rapids,Michigan,United States,,NA,TRUE,Grand Rapids  ,42.9632425,-85.6678639,26,081,012606,3,260810126063
