temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,prophet,interval,prophet_start,prophet_end
Seoul Korea Temple,4,3,1,28057,1,12,5,17,83.3,6,Detached,Yes,1981-04-01,1983-05-09,1985-12-14,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Singapore Temple,NA,NA,NA,NA,1,NA,NA,NA,18.6,1,Attached,No,2021-04-04,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Smithfield Utah Temple,4,4,2,81000,13.3,NA,NA,NA,NA,2,Attached,No,2021-04-04,2022-06-18,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Snowflake Arizona Temple,2,2,1,18621,7.5,14,0,14,NA,1,Attached,Yes,2000-04-02,2000-09-23,2002-03-03,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Spokane Washington Temple,2,2,1,10700,2,16,0,16,NA,1,Attached,Yes,1998-08-13,1998-10-10,1999-08-21,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
St. George Utah Temple,3,18,1,143969,6.5,37,0,37,NA,1,Attached,No,1871-01-31,1871-11-09,1877-04-06,Brigham Young,1844-06-27 UTC--1877-08-29 UTC,1844-06-27T00:00:00Z,1877-08-29T00:00:00Z
St. Louis Missouri Temple,4,4,1,58749,14,10,0,10,581.8,1,Attached,Yes,1990-12-29,1993-10-30,1997-06-01,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
St. Paul Minnesota Temple,2,2,1,10700,7.5,9,0,9,NA,1,Attached,Yes,1998-07-29,1998-09-26,2000-01-09,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Star Valley Wyoming Temple,1,1,1,18609,43.6,5,0,5,NA,1,Attached,Yes,2011-10-01,2015-04-25,2016-10-30,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Stockholm Sweden Temple,4,3,1,16366,4.47,5,2,7,138.3,6,Detached,Yes,1981-04-01,1984-03-17,1985-07-02,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Suva Fiji Temple,2,2,1,12755,4.7,9,21,30,308.3,1,Attached,Yes,1998-05-07,1999-05-08,2000-06-18,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Sydney Australia Temple,2,3,1,30677,3,11,2,13,418.2,1,Attached,Yes,1980-04-02,1982-08-13,1984-09-20,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Syracuse Utah Temple,4,4,2,88886,12.27,NA,NA,NA,NA,1,Attached,No,2020-04-05,2021-06-12,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Taipei Taiwan Temple,4,3,1,9945,0.5,16,0,16,16,6,Detached,Yes,1982-03-31,1982-08-27,1984-11-17,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Tallahassee Florida Temple,2,2,1,29000,4.97,NA,NA,NA,204.4,1,Attached,No,2020-04-05,2021-06-05,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Tampa Florida Temple,2,2,1,30000,16.2,NA,NA,NA,65.6,1,Attached,No,2022-04-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Tampico Mexico Temple,2,2,1,10700,2.96,11,2,13,73,1,Attached,Yes,1998-07-08,1998-11-28,2000-05-20,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Tarawa Kiribati Temple,1,1,1,10000,0.8,NA,NA,NA,25.5,1,Attached,No,2020-10-04,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Taylorsville Utah Temple,4,4,1,70460,7.5,NA,NA,NA,NA,1,Attached,No,2019-10-05,2020-10-31,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Tegucigalpa Honduras Temple,2,2,1,28254,13.6,43,9,52,NA,1,Attached,Yes,2006-06-09,2009-09-12,2013-03-17,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Teresina Brazil Temple,NA,NA,NA,25420,3.6,NA,NA,NA,213.7,NA,NA,NA,2023-04-02,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Teton River Idaho Temple,NA,NA,NA,130000,16.6,NA,NA,NA,NA,NA,NA,NA,2021-10-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
The Gila Valley Arizona Temple,2,2,1,18561,17,6,0,6,NA,1,Attached,Yes,2008-04-26,2009-02-14,2010-05-23,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
The Hague Netherlands Temple,2,2,1,10500,2.7,4,0,4,-3.5,1,Attached,Yes,1999-08-16,2000-08-26,2002-09-08,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Tijuana Mexico Temple,2,2,1,33367,9.4,10,0,10,172.4,1,Attached,Yes,2010-10-02,2012-08-18,2015-12-13,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Tokyo Japan Temple,2,5,1,53997,1.22,16,4,20,80.9,1,Attached,Yes,1975-08-09,1978-04-10,1980-10-27,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Toronto Ontario Temple,4,6,1,57982,13.4,8,1,9,797.8,1,Attached,Yes,1984-04-07,1987-10-10,1990-08-25,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Torreón Mexico Temple,1,1,1,10000,0.89,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-12-10,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Trujillo Peru Temple,2,2,1,28200,8.9,29,6,35,126.2,1,Attached,Yes,2008-12-13,2011-09-14,2015-06-21,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Tucson Arizona Temple,2,2,1,38216,7,9,0,9,NA,1,Attached,Yes,2012-10-06,2015-10-17,2017-08-13,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Tuxtla Gutiérrez Mexico Temple,2,2,1,10700,1.56,7,6,13,NA,1,Attached,Yes,1999-02-25,1999-03-20,2000-03-12,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Twin Falls Idaho Temple,2,3,1,31245,9.1,16,0,16,NA,1,Attached,Yes,2004-10-02,2006-04-15,2008-08-24,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Urdaneta Philippines Temple,2,3,1,NA,15.26,NA,NA,NA,93.4,1,Attached,Yes,2010-10-02,2019-01-16,NA,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Vancouver British Columbia Temple,2,2,1,28165,11.6,8,1,9,251.4,1,Attached,Yes,2006-05-25,2007-08-04,2010-05-02,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Veracruz Mexico Temple,2,2,1,10700,3.39,13,1,14,48.6,1,Attached,Yes,1999-04-14,1999-05-29,2000-07-09,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Vernal Utah Temple,2,3,1,38771,1.6,14,0,14,NA,2,Attached,Yes,1994-02-13,1995-05-13,1997-11-02,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Villahermosa Mexico Temple,2,2,1,10700,1.36,6,3,9,62.1,1,Attached,Yes,1998-10-30,1999-01-09,2000-05-21,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Vitória Brazil Temple,1,1,1,10600,NA,NA,NA,NA,0.2,NA,NA,NA,2021-10-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Washington D.C. Temple,6,10,1,156558,52,25,0,25,289.4,6,Attached,Yes,1968-11-15,1968-12-07,1974-11-19,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z
Wellington New Zealand Temple,NA,NA,NA,14900,3.35,NA,NA,NA,70.1,NA,NA,NA,2022-04-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Wichita Kansas Temple,1,1,1,9950,6.42,NA,NA,NA,NA,NA,NA,NA,2022-04-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Willamette Valley Oregon Temple,2,2,1,30000,10.5,NA,NA,NA,429.4,1,Attached,No,2021-04-04,2022-10-29,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Winnipeg Manitoba Temple,1,1,1,16100,7.7,2,0,2,766.2,1,Attached,Yes,2011-04-02,2016-12-03,2021-10-31,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Winter Quarters Nebraska Temple,2,2,1,16000,1.92,11,0,11,NA,1,Attached,Yes,1999-06-14,1999-11-28,2001-04-22,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Yigo Guam Temple,1,1,1,6861,5.8,2,1,3,487.1,1,Attached,No,2018-10-07,2019-05-04,2022-05-22,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Yorba Linda California Temple,2,2,1,30872,5.46,NA,NA,NA,361.8,1,Attached,No,2021-04-04,2022-06-18,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
