temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,prophet,interval,prophet_start,prophet_end
Gilbert Arizona Temple,3,7,1,85326,15.38,37,0,37,NA,1,Attached,Yes,2008-04-26,2010-11-13,2014-03-02,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Grand Junction Colorado Temple,2,2,1,25000,6.94,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-04-16,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Grand Rapids Michigan Temple,2,2,1,20000,10.5,NA,NA,NA,790.3,NA,NA,NA,2022-10-02,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Guadalajara Mexico Temple,2,2,1,10700,2.69,18,5,23,NA,1,Attached,Yes,1999-04-14,1999-06-12,2001-04-29,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Guatemala City Guatemala Temple,4,3,1,11610,1.4,33,9,42,NA,6,Detached,Yes,1981-04-01,1982-09-12,1984-12-14,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Guayaquil Ecuador Temple,4,3,1,45000,6.2,29,4,33,58.1,1,Attached,Yes,1982-03-31,1996-08-10,1999-08-01,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Halifax Nova Scotia Temple,2,2,1,10700,2,2,1,3,209.8,1,Attached,Yes,1998-05-07,1998-10-12,1999-11-14,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Hamilton New Zealand Temple,2,5,1,45251,35,31,3,34,131.2,1,Attached,No,1955-02-17,1955-12-21,1958-04-20,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z
Harare Zimbabwe Temple,2,2,1,17250,6.7,NA,NA,NA,NA,1,Attached,No,2016-04-03,2020-12-12,NA,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Hartford Connecticut Temple,2,2,1,32246,11.3,7,0,7,179.8,1,Attached,Yes,2010-10-02,2013-08-17,2016-11-20,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Heber Valley Utah Temple,4,4,1,88000,17.9,NA,NA,NA,NA,2,Attached,No,2021-10-03,2022-10-08,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
